Site_ID,Site_Type,Site_Name,State,Latitude,Longitude,Lat_Long_Datum,Lat_Long_Source,Elevation_in_Meters,Elevation_Source,Degree_of_Development_Surrounding_Site,Landscape_Description,Proximity_to_Road,Proximity_to_Permanent_Water,Area_of_Site,Type_of_Forest_at_Site,Presence_of_Slope,Location_Relative_to_Slope,Slope_Aspect,Presence_of_Domesticated_Cats,Presence_of_Domesticated_Dogs,Presence_of_Domesticated_Animals,Presence_of_Garden,Presence_of_Bird_Feeder,Presence_of_Nesting_Box,Presence_of_Fruit,Presence_of_Birdbath,Presence_of_Other_Features_Designed_to_Attract_Animals,Site_Comments,Site_Registration_Date,num_individuals,num_records,group_name,
"63","Personal","PPN_58690","CO","40.965267","-105.218773","WGS84","Google Maps","2136","User","Rural","Forest or woodland","","","","Mostly evergreen trees (for example, pine or live oak)","","At the bottom of the slope or in a valley between slopes","Southeast","","","","","","","","","","Plant Phenology Network station PPN_58690","","10","1085",""
"261","Personal","PPN_9050005","CO","39.098499","-104.834297","WGS84","User","2191","Google Elevation Service","","","","","","","","","","","","","","","","","","","Plant Phenology Network station PPN_9050005","","25","3658",""
"2803","Personal","PPN_9050018","CO","39.971001","-105.397003","","User","2397","Auto-USGS-WebService","","","","","","","","","","","","","0","","","","","","Plant Phenology Network station PPN_9050018","","35","70536",""
"6563","Personal","Home","CO","40.036625","-105.292145","WGS84","Google Maps","1692","Auto-USGS-WebService","Other (please describe in comments box)","Orchard or tree farm","50 ft","1 mi","4.5 ac","","","","","","","","-1","","","","","","The site is divided from south to north by the silver lake ditch such that west of the ditch there is a semi-arid foothills ecosystem that gets only natural precipitation.  East of the ditch are clumps of siberian elms, populars, and plums and apple trees, which were part of an orchard 50-80 years ago and our 2 story house dating from the 1920s.  The area is only watered by irrigation from the ditch during the summer and only when it becomes so dry that the mixture of native and non-native grasses may die.","2012-03-01","12","1169",""
"8309","Group","DBG-York Street","CO","39.731804","-104.961166","WGS84","Google Maps","1640","Auto-USGS-WebService","Urban","Landscaped area (such as vegetable or flower garden, lawn, arboretum)","","","","A mixture of evergreen and deciduous trees","No, the surrounding terrain is relatively flat","","","","","","1","","","","","","","2012-04-05","69","26297","Denver Botanic Gardens"
"8411","Personal","FDO","CO","37.073463","-105.067200","WGS84","Google Maps","2545","Auto-USGS-WebService","Rural","Agricultural field, cropland or pasture","0 ft","0 ft","60 ac","","","","","","","","-1","","","","","","A dirt road provides the boundary on two sides of the property. A stream runs through the length of the property and two ponds are located at the western end.","2012-04-13","22","964",""
"9927","Personal","Surrey Ridge","CO","39.498241","-104.890930","WGS84","Google Maps","1902","Auto-USGS-WebService","Rural","Shrubland, shrub thicket or shrubby field (with few tall trees)","200 yd","500 yd","6 ac","","","","","","","","-1","","","","","","Body of water is a natural creek on property, wet all year","2013-03-07","15","1036",""
"10143","Personal","yard","CO","39.579479","-105.124023","","","1769","Google Elevation Service","Suburban","Landscaped area (such as vegetable or flower garden, lawn, arboretum)","150 ft","1.5 mi","0.5 ac","A mixture of evergreen and deciduous trees","Yes, and the site is...","In the middle of the slope","South","","","","-1","","","","","","","2013-03-18","10","12400",""
"12708","Group","DBG-Chatfield","CO","39.550663","-105.099319","WGS84","Google Maps","1674","Auto-USGS-WebService","Other (please describe in comments box)","Landscaped area (such as vegetable or flower garden, lawn, arboretum)","","","","","","","","","","","-1","","","","","","","2013-11-04","23","12434","Denver Botanic Gardens"
"14887","Personal","home","CO","37.092545","-108.130920","WGS84","Google Maps","2011","Auto-USGS-WebService","","","","","","","","","","","","","-1","","","","","","","2013-11-16","1","39",""
"16159","Personal","Back Yard","CO","39.590431","-104.952271","WGS84","Google Maps","1702","Auto-USGS-WebService","Suburban","Landscaped area (such as vegetable or flower garden, lawn, arboretum)","80 ft","6 mi","1875 ft2","","","","","","","","-1","","","","","","","2013-11-20","2","136",""
"19185","Personal","Our back yard","CO","39.733765","-104.870140","WGS84","Google Maps","1642","Google Elevation Service","","","","","","","","","","","","","-1","","","","","","","2014-10-22","18","144",""
"19887","Personal","Home","CO","39.074177","-108.559799","WGS84","Google Maps","1402","Google Elevation Service","","","","","","","","","","","","","-1","","","","","","","2015-02-19","5","33",""
"19992","Personal","Palmer Park, Greencrest Trail","CO","38.872795","-104.762604","WGS84","Google Maps","1947","Google Elevation Service","","","","","","","","","","","","","-1","","","","","","","2015-03-08","90","274",""
"20126","Personal","home","CO","39.760746","-105.015945","WGS84","Google Maps","1616","Google Elevation Service","","","","","","","","","","","","","-1","","","","","","","2015-03-17","1","17",""
"20128","Personal","LoHi, Denver","CO","39.769814","-105.014832","WGS84","Google Maps","1613","Google Elevation Service","Urban","Landscaped area (such as vegetable or flower garden, lawn, arboretum)","","","","","","","","","","","-1","","","","","","","2015-03-17","1","5",""
"20266","Personal","Home","CO","40.621700","-105.072807","WGS84","Google Maps","1531","Google Elevation Service","Rural","Shrubland, shrub thicket or shrubby field (with few tall trees)","10 yd","25 yd","1.1 ac","Other (please describe in comments box)","No, the surrounding terrain is relatively flat","","","","1","","1","1","1","1","1","","Site surrounded by large, mature cotton wood trees, walnut and fruit trees and some juniper bushes","2015-03-27","1","10",""
"20305","Personal","2021 Bingham Ln","CO","40.616798","-105.144737","WGS84","Google Maps","1553","Google Elevation Service","Rural","Agricultural field, cropland or pasture","30 ft","300 yd","2.4 ac","Mostly deciduous trees (for example, maple or larch)","Yes, and the site is...","In the middle of the slope","East","","","","1","","","","","Attempt at solitary bee house (2 bundles of hollow stems) hung in 2015.","Mostly hay pasture, with fruit and other trees, veg garden and house.","2015-03-30","1","407",""
"20335","Personal","Highline Canal Yale - Holly","CO","39.672035","-104.927689","WGS84","Google Maps","1664","Google Elevation Service","Suburban","Pavement (such as asphalt, concrete, brick)","100 ft","","5 ac","","","","","","","","-1","","","","","","Plants located in a 30' strip along the canal trail from Yale to Holly.","2015-04-01","17","1181",""
"20446","Personal","charlie wade farm","CO","39.952251","-104.604378","WGS84","Web Service","1579","Google Elevation Service","","","","","","","","","","","","","","","","","","","","2015-04-09","2","7",""
"20487","Personal","Home","CO","39.507935","-105.518150","WGS84","Google Maps","2694","Google Elevation Service","","","","","","","","","","","","","-1","","","","","","","2015-04-11","38","72",""
"20713","Personal","Bike path","CO","39.666878","-104.873795","WGS84","Google Maps","1668","Google Elevation Service","","","","","","","","","","","","","-1","","","","","","","2015-04-24","8","148",""
"21098","Personal","Vail","CO","39.640263","-106.374191","WGS84","Web Service","2493","Google Elevation Service","","","","","","","","","","","","","","","","","","","","2015-06-27","1","1",""
"21468","Group","Red Maple site","CO","40.402924","-104.697510","WGS84","Google Maps","1450","Google Elevation Service","Urban","Landscaped area (such as vegetable or flower garden, lawn, arboretum)","15 yd","1 mi","525 m2","","","","","","","","-1","","","","","","","2015-08-26","10","9858","UNCO BIO 111"
"21470","Group","Ponderosa site","CO","40.402988","-104.700211","WGS84","Google Maps","1450","Google Elevation Service","Urban","Landscaped area (such as vegetable or flower garden, lawn, arboretum)","60 yd","1 mi","2.57 ac","","No, the surrounding terrain is relatively flat","","","1","1","","-1","","","","","","","2015-08-26","10","7325","UNCO BIO 111"
"21471","Group","Cottonwood site","CO","40.404621","-104.698280","WGS84","Google Maps","1448","Google Elevation Service","Urban","Landscaped area (such as vegetable or flower garden, lawn, arboretum)","100 yd","1 mi","15 ac","","No, the surrounding terrain is relatively flat","","","1","1","","1","","","","","","","2015-08-26","10","8848","UNCO BIO 111"
"21621","Personal","Dog Park","CO","37.265465","-107.884979","WGS84","Web Service","2040","Google Elevation Service","","","","","","","","","","","","","","","","","","","","2015-09-11","1","11",""
"21622","Personal","Santa Rita Park","CO","37.261326","-107.878571","WGS84","Web Service","1970","Google Elevation Service","","","","","","","","","","","","","","","","","","","","2015-09-11","1","11",""
"21628","Personal","Schneider Park","CO","37.275196","-107.884216","WGS84","Web Service","1985","Google Elevation Service","","","","","","","","","","","","","","","","","","","","2015-09-11","1","2",""
"21632","Personal","Fanto Park","CO","37.266800","-107.875000","WGS84","Web Service","1997","Google Elevation Service","","","","","","","","","","","","","","","","","","","","2015-09-12","1","2",""
"21649","Personal","Oxbow Park","CO","37.310001","-107.854202","WGS84","Web Service","1993","Google Elevation Service","","","","","","","","","","","","","","","","","","","","2015-09-13","1","2",""
"21665","Personal","UNCO Ross Courtyard","CO","40.406452","-104.685745","WGS84","Google Maps","1430","Google Elevation Service","","","","","","","","","","","","","-1","","","","","","","2015-09-15","3","684",""
"21784","Personal","University of Northern Colorado","CO","40.423313","-104.709129","WGS84","Google Maps","1423","Google Elevation Service","","","","","","","","","","","","","-1","","","","","","","2015-09-30","2","455",""
"21789","Personal","Home ","CO","40.635410","-103.209549","WGS84","Google Maps","1197","Google Elevation Service","","","","","","","","","","","","","-1","","","","","","","2015-09-30","2","548",""
"21790","Personal","UNC","CO","40.401314","-104.698433","WGS84","Web Service","1447","Google Elevation Service","","","","","","","","","","","","","","","","","","","","2015-10-01","3","827",""
"21792","Personal","ponderosa pine 1","CO","40.406452","-104.685745","WGS84","Web Service","1432","Google Elevation Service","","","","","","","","","","","","","","","","","","","","2015-10-01","2","108",""
"21794","Personal","ponderosa pine 2","CO","40.406452","-104.685745","WGS84","Web Service","1432","Google Elevation Service","","","","","","","","","","","","","","","","","","","","2015-10-01","1","48",""
"21795","Personal","ponderosa pine 3","CO","40.406452","-104.685745","WGS84","Web Service","1432","Google Elevation Service","","","","","","","","","","","","","","","","","","","","2015-10-01","1","48",""
"21796","Personal","ponderosa pine 4 ","CO","40.406452","-104.685745","WGS84","Web Service","1432","Google Elevation Service","","","","","","","","","","","","","","","","","","","","2015-10-01","1","48",""
"21835","Personal","FLC campus","CO","37.276310","-107.867310","WGS84","Google Maps","2087","Google Elevation Service","","","","","","","","","","","","","-1","","","","","","","2015-10-10","1","11",""